#options: 400x294 fps=25/1 timebase=1/25 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=4 lookahead_threads=1 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=1000 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:130 out:132 type:b dur:2 cpbdur:2 q:12.10 aq:10.68 tex:14053 mv:1800 misc:475 imb:0 pmb:294 smb:181 d:- ref:0 ;
in:132 out:133 type:b dur:2 cpbdur:2 q:12.16 aq:11.03 tex:14627 mv:1905 misc:468 imb:1 pmb:304 smb:170 d:- ref:0 ;
in:137 out:134 type:P dur:2 cpbdur:2 q:12.32 aq:4.54 tex:100026 mv:2160 misc:342 imb:10 pmb:352 smb:113 d:- ref:0 ;
in:135 out:135 type:B dur:2 cpbdur:2 q:12.25 aq:8.89 tex:23073 mv:2112 misc:455 imb:2 pmb:312 smb:161 d:- ref:0 ;
in:134 out:136 type:b dur:2 cpbdur:2 q:12.22 aq:10.92 tex:9455 mv:1180 misc:477 imb:1 pmb:232 smb:242 d:- ref:0 ;
in:136 out:137 type:b dur:2 cpbdur:2 q:12.28 aq:12.16 tex:7920 mv:1296 misc:480 imb:0 pmb:243 smb:232 d:- ref:0 ;
in:141 out:138 type:P dur:2 cpbdur:2 q:12.29 aq:3.81 tex:107791 mv:2749 misc:300 imb:80 pmb:321 smb:74 d:- ref:0 ;
in:139 out:139 type:B dur:2 cpbdur:2 q:12.30 aq:8.28 tex:23173 mv:2314 misc:441 imb:12 pmb:326 smb:137 d:- ref:0 ;
in:138 out:140 type:b dur:2 cpbdur:2 q:12.31 aq:10.72 tex:7940 mv:1051 misc:513 imb:0 pmb:236 smb:239 d:- ref:0 ;
in:140 out:141 type:b dur:2 cpbdur:2 q:12.29 aq:9.63 tex:9925 mv:1714 misc:489 imb:5 pmb:289 smb:181 d:- ref:0 ;
